Feature,Chi2_Score,P_Value
toys,6.431132596381073,0.9966842472326711
pxg,6.431069256968312,0.9966844656089765
scenery,6.430885082960388,0.9966851005240772
mussolini,6.430831313227705,0.9966852858698716
leaning,6.4307748378093015,0.9966854805334235
warn,6.429872178055226,0.996688590660332
depressing,6.429579968724019,0.9966895969774191
rarely,6.429535002140682,0.9966897518128945
trite,6.429238651566231,0.9966907721071222
zooid,6.4291698733494504,0.9966910088655175
accessing,6.428300383908884,0.9966940007945628
recipes,6.428174106448462,0.9966944351397556
coaxial,6.428126612361726,0.9966945984892116
microcontroller,6.427127240995385,0.996698034212029
propagandists,6.427118658257556,0.9966980637062574
proxy,6.426996586880189,0.9966984831770245
phenomena,6.426719241721427,0.9966994360545928
reactors,6.42580491198241,0.9967025758871865
scanners,6.425230459463527,0.9967045473645328
den,6.424774809364999,0.9967061104583678
preprocessor,6.4247077526933785,0.9967063404447709
saddlebags,6.423409291429269,0.9967107913169432
eugenics,6.421465273116254,0.9967174461443807
swell,6.420884785550806,0.9967194312235927
deviations,6.420581906482543,0.9967204665949793
intro,6.4164062348982664,0.9967347145314917
sales,6.415979401562648,0.9967361681811863
bent,6.413486828504223,0.9967446468256856
weakness,6.412678685285244,0.9967473920341402
developing,6.411011284426883,0.9967530502987882
7000,6.410885744186742,0.9967534759997883
snell,6.410812868237358,0.9967537230984298
mezalimi,6.410486315478623,0.9967548301500099
anxiety,6.410377550907159,0.9967551988081915
decent,6.409472069033055,0.9967582666592364
bluntly,6.408774079689444,0.9967606299417433
kevin,6.407579994401104,0.9967646697680973
cns,6.407266059950013,0.9967657312086262
maternity,6.406758488542971,0.9967674467704705
fence,6.406330694798345,0.9967688921295068
pi,6.406327620716771,0.9967689025138574
mallove,6.405729426915175,0.9967709227303418
able,6.404601484030872,0.9967747292944727
intensity,6.403954045947651,0.9967769126547054
hormone,6.40240014011894,0.9967821481331993
spill,6.402161043643428,0.9967829531086424
clips,6.401606642342756,0.9967848190203248
fort,6.400411284406676,0.9967888392446375
preaching,6.4003005375231545,0.9967892115068787
goofy,6.400229403237194,0.9967894505981637
ratios,6.399740399943028,0.9967910938186203
fastest,6.399354761796221,0.9967923892271215
497,6.398841199293509,0.9967941137078168
place,6.398129308470305,0.9967965029380033
donnelly,6.39807390958225,0.9967966888072782
elastic,6.396430520210884,0.9968021986777813
clues,6.395890783786779,0.996804006641536
ku,6.395192627537681,0.9968063440670913
977,6.39502195107162,0.996806915285737
standards,6.392355553676167,0.9968158286730298
fx,6.390019884259917,0.9968236202982951
ssn,6.389632697343917,0.9968249104670075
propogation,6.389467407663029,0.9968254611123454
provincial,6.389131143812049,0.99682658110707
fourth,6.389099013537873,0.9968266881070754
nights,6.3887804051207695,0.9968277489800068
encourage,6.386833738297807,0.9968342247175761
81,6.386766679782267,0.9968344476063745
specifies,6.385954516325462,0.9968371460858487
30fps,6.384881568977395,0.9968407082497474
certification,6.38487838721544,0.9968407188084103
kris,6.384656906435339,0.9968414537227668
mouth,6.384181564615945,0.9968430305384156
frosted,6.383494438108896,0.9968453087902441
caliber,6.382762993293535,0.9968477325548446
foam,6.381600814262368,0.9968515805977853
insignia,6.381432427143531,0.9968521378289126
xpm,6.3806801826847765,0.9968546262230705
embedding,6.379951833218262,0.9968570340897756
concepts,6.379354351262237,0.9968590082291487
jonestown,6.379236135722656,0.9968593987086299
visible,6.379051413107717,0.9968600087916761
lifestyles,6.378968589203257,0.9968602823035744
snyder,6.3780589369962115,0.9968632850349594
ruins,6.377930217451483,0.9968637097502017
scrambling,6.3775957041509255,0.996864813277242
currently,6.377540758290449,0.9968649945089315
rainbow,6.376999741989849,0.9968667785372165
glean,6.376695726876374,0.9968677806895062
avery,6.373894590411432,0.9968770023926842
385,6.372616105359223,0.996881204180389
cpm,6.37255256791269,0.9968814128817206
reloading,6.37252085142934,0.9968815170566568
wilt,6.37150228550042,0.9968848611407083
operating,6.370763973224839,0.9968872833403376
iubacs,6.370707722617125,0.9968874678219689
sprite,6.369944151304469,0.9968899712032585
325,6.3698166706799535,0.9968903889952744
copenhagen,6.368197993606146,0.9968956900193128
commentaries,6.367461071275951,0.9968981010031093
1047,6.365803410231523,0.9969035189427905
bets,6.365101359165079,0.9969058112834212
redefine,6.365097607856891,0.9969058235286007
vilayets,6.364882382708137,0.9969065260114178
chris,6.36383127967454,0.9969099549384501
wild,6.362801378085881,0.9969133117816403
carburation,6.362060112240024,0.9969157260627219
prevention,6.36200143995067,0.9969159170927556
walton,6.36198177526307,0.9969159811165555
tonite,6.360835528882733,0.9969197112184912
pager,6.359847161038082,0.996922924684305
cool,6.3597100744018835,0.9969233701823111
maybe,6.359686914498414,0.9969234454412829
brunswick,6.359640985157667,0.9969235946860789
gentleman,6.359543102013173,0.996923912732691
ensure,6.358137184503552,0.9969284780347308
artificial,6.358086435297956,0.996928642727381
dreams,6.358003702469444,0.9969289111991256
response,6.357173592957303,0.9969316039130146
